genus_name,expected_dna_fraction,"KmerFormer 6-mer, 8 layers","KmerFormer 6-mer, 16 layers","KmerFormer 6-mer, 29 layers","KmerFormer 13-mer exact, 16 l.","KmerFormer 13-mer hashed d128, 1 l.","KmerFormer 13-mer hashed d128, 16 l.","KmerFormer 13-mer hashed d64, 16 l.",MetaTransformer 13-mer,MetaTransformer 6-mer,NT-v2 500M + LoRA,Kraken 2 + Bracken
Campylobacter,0.0,0.001039,0.0009456666666666667,0.0007836666666666667,0.0005036666666666667,0.00014933333333333332,0.0004643333333333333,0.00038533333333333334,4.266666666666667e-05,0.001657,0.0007856666666666667,0.0
Catenibacterium,0.0396446048093314,0.040143333333333336,0.043382333333333335,0.044804666666666666,0.044021,0.04810933333333333,0.043083666666666666,0.039608,0.060222,0.006962,0.038873,0.10525
Cellulomonas,0.0,4.133333333333333e-05,3.8e-05,2.8666666666666668e-05,3.6e-05,2.7333333333333335e-05,6.166666666666667e-05,5.5333333333333334e-05,1.5333333333333334e-05,0.00023966666666666667,1.9666666666666666e-05,0.0
Citrobacter,0.0,0.00016966666666666668,0.00016333333333333334,0.00017666666666666666,0.0008243333333333334,0.000156,0.00047433333333333333,0.0005336666666666667,0.0007006666666666667,9.366666666666666e-05,0.00019933333333333334,0.0
Cloacibacillus,0.0,3.9e-05,5.1666666666666664e-05,5.3e-05,0.000219,8.233333333333333e-05,0.00013033333333333332,8.633333333333334e-05,0.00010733333333333333,1.8e-05,3.433333333333333e-05,0.00028000000000000003
Clostridium,0.1031311094468104,0.22464733333333334,0.21235466666666666,0.206593,0.16732266666666668,0.21638733333333332,0.207878,0.25297833333333336,0.17482,0.29064833333333334,0.22609866666666667,0.07651
Collinsella,0.0396065211297183,0.030696,0.023909333333333335,0.019893666666666667,0.014387,0.015257,0.016401333333333334,0.016946666666666665,0.012942666666666667,0.047419,0.023850666666666666,0.04636
Coprobacillus,0.0,0.00012833333333333333,0.000184,0.00024133333333333334,0.0009033333333333334,0.00015966666666666665,0.0002553333333333333,0.00044333333333333334,0.00011666666666666667,0.0003246666666666667,0.00014566666666666667,0.0
Coprococcus,0.0,0.004376333333333334,0.004323666666666667,0.004236666666666666,0.0023253333333333333,0.000686,0.0008596666666666667,0.0006056666666666667,0.0006706666666666666,0.005177666666666666,0.004412666666666666,0.00036
Corynebacterium,0.0,0.0015133333333333333,0.0016983333333333334,0.0016343333333333333,0.003157333333333333,0.0016453333333333333,0.0017513333333333333,0.001786,0.000658,0.00040866666666666666,0.001574,2e-05
Cryptobacterium,0.0,1.6666666666666667e-06,3.3333333333333333e-06,3.3333333333333333e-06,0.00029966666666666667,1.633333333333333e-05,0.00013766666666666666,7.866666666666666e-05,1.7333333333333332e-05,9.333333333333333e-06,1.3333333333333334e-06,2e-05
Desulfovibrio,0.0,0.005276,0.004961,0.004656666666666667,0.008793333333333334,0.007211666666666667,0.006940666666666667,0.009139333333333333,0.005302,0.007117,0.005101,0.0006500000000000001
Dialister,0.0,0.007229666666666666,0.007281333333333333,0.0073876666666666665,0.006043333333333334,0.0032236666666666668,0.004474,0.002644333333333333,0.0027946666666666667,0.004416,0.006115666666666667,0.00234
Dorea,0.0,0.001964333333333333,0.0023436666666666666,0.002619666666666667,0.0025583333333333335,0.001157,0.0018223333333333334,0.0017873333333333333,0.0010893333333333334,0.0007063333333333333,0.0017803333333333334,0.00263
Dysgonomonas,0.0,0.0006453333333333334,0.000892,0.0010566666666666667,0.0020726666666666667,0.00046166666666666665,0.0005463333333333333,0.00032733333333333334,0.00173,3.266666666666666e-05,0.0006113333333333333,6.000000000000001e-05
Edwardsiella,0.0,0.00019133333333333334,0.00020033333333333334,0.000223,0.0008343333333333333,0.000159,0.0004823333333333333,0.00016166666666666668,0.0006,0.00014833333333333332,0.000192,0.0
Eggerthella,0.0,0.0028046666666666667,0.002657333333333333,0.0028606666666666667,0.001995666666666667,0.00128,0.0021746666666666668,0.0025813333333333335,0.0004606666666666667,0.003494,0.002794333333333333,0.00021
Enterobacter,0.0,0.000436,0.00040333333333333334,0.000404,0.001153,0.0006203333333333333,0.0014206666666666666,0.0012913333333333334,0.0013906666666666666,0.000975,0.000403,2e-05
Enterococcus,0.0,0.002674,0.0027513333333333335,0.002801333333333333,0.003317,0.0014983333333333333,0.003351,0.001745,0.001226,0.0019156666666666666,0.002445333333333333,0.00013000000000000002
Eubacterium,0.0521487345715083,0.011878,0.011539333333333334,0.011434333333333333,0.010935666666666666,0.007743333333333333,0.009971666666666667,0.0066226666666666665,0.002786,0.014257,0.010974333333333332,0.00264
Exiguobacterium,0.0,0.0004806666666666667,0.00037933333333333336,0.000346,0.0007263333333333333,6.9e-05,0.00028866666666666667,0.000142,0.00019933333333333334,0.00022533333333333333,0.0003046666666666667,3.0000000000000004e-05
Faecalibacterium,0.0497182087796923,0.015302,0.015968,0.016357,0.014993,0.014468333333333333,0.015147333333333334,0.012657333333333333,0.015058,0.013876666666666667,0.015631,0.01891
Finegoldia,0.0,0.000118,0.00018833333333333332,0.00022666666666666666,0.0005473333333333334,6.633333333333334e-05,0.00019166666666666667,0.00010733333333333333,1.6e-05,1e-06,9.633333333333333e-05,0.0
Flavobacterium,0.0,0.00012433333333333334,0.000202,0.00023866666666666668,0.0009826666666666666,3.0333333333333333e-05,7.366666666666666e-05,8.133333333333334e-05,3.066666666666667e-05,8.933333333333333e-05,0.00012833333333333333,4e-05
Franconibacter,0.0,1.2e-05,1.3e-05,1.2666666666666667e-05,9.466666666666667e-05,7.666666666666667e-06,4.233333333333333e-05,2.3666666666666668e-05,1.9333333333333333e-05,2.8666666666666668e-05,9.666666666666667e-06,1e-05
Fusobacterium,0.0,0.004885,0.00456,0.004521,0.003187,0.0028823333333333335,0.004278333333333334,0.0031063333333333333,0.0009653333333333333,0.005017333333333334,0.0034533333333333334,0.0007700000000000001
Garciella,0.0,0.00019833333333333332,0.00021066666666666667,0.00021033333333333334,0.0005263333333333333,2.5666666666666666e-05,7.133333333333334e-05,3.266666666666666e-05,1.2666666666666667e-05,3.733333333333333e-05,0.000169,4e-05
Gemella,0.0,7.833333333333333e-05,0.00015233333333333334,0.0002573333333333333,0.00027233333333333336,1.4e-05,5.333333333333333e-05,5.266666666666667e-05,8.666666666666666e-06,1.3e-05,8.666666666666667e-05,1e-05
Gemmiger,0.0,0.0008216666666666666,0.00093,0.0008986666666666666,0.00116,0.000552,0.0011026666666666667,0.0005946666666666666,0.0009426666666666666,0.0005216666666666667,0.0007396666666666667,0.00091
Granulicatella,0.0,0.000448,0.000484,0.000468,0.00034933333333333333,5.0333333333333335e-05,0.000263,9.233333333333333e-05,0.00010266666666666666,0.0005196666666666666,0.000353,0.0005300000000000001
Halomonas,0.0,4.7333333333333336e-05,5.6e-05,6.433333333333333e-05,0.000123,0.000311,0.000181,8.333333333333333e-05,0.00010866666666666666,3.5e-05,4.8666666666666666e-05,6e-05
Helicobacter,0.0,0.002175,0.001842,0.0017096666666666666,0.001146,0.000364,0.001344,0.0007603333333333333,0.0002753333333333333,0.005366,0.00193,0.0
Klebsiella,0.0,0.0003606666666666667,0.000345,0.00034866666666666667,0.0019393333333333333,0.000699,0.0012903333333333334,0.0012686666666666666,0.0011413333333333334,0.00045033333333333335,0.00031433333333333335,1e-05
Lachnobacterium,0.0,0.027071666666666667,0.030794333333333333,0.03206933333333333,0.05552733333333333,0.05314066666666667,0.051213666666666664,0.04171,0.06401,0.007383666666666667,0.026292,0.10885
Lachnoclostridium,0.0,3.3333333333333335e-07,3e-06,1.3e-05,0.0004226666666666667,7.633333333333334e-05,0.00011333333333333333,6.8e-05,0.00010266666666666666,0.0,6.666666666666667e-07,0.00025
Lachnospira,0.0,0.003178666666666667,0.0030186666666666665,0.002926,0.003269666666666667,0.000806,0.001233,0.0013946666666666667,0.0009653333333333333,0.004135333333333334,0.002741,0.00065
Lactobacillus,0.0,0.012249,0.011548666666666667,0.011383666666666667,0.006233333333333333,0.005971333333333334,0.009120333333333333,0.011094333333333333,0.002636,0.030422666666666667,0.012550333333333333,0.00019
Leuconostoc,0.0,0.00046633333333333336,0.0004673333333333333,0.000503,0.0008943333333333334,5.1e-05,0.00043033333333333335,0.0005306666666666667,0.00018533333333333333,0.000668,0.00039666666666666664,0.0
Listeria,0.0,0.00010433333333333334,0.00014033333333333332,0.00016033333333333335,0.00026966666666666664,4.966666666666667e-05,0.00021533333333333333,8.366666666666666e-05,4.266666666666667e-05,2.4e-05,0.00010366666666666666,0.0
Marvinbryantia,0.0,1.2666666666666667e-05,1.3333333333333333e-05,3.1e-05,0.000654,4.8333333333333334e-05,7.966666666666666e-05,7.6e-05,0.00010533333333333334,0.0,1.4666666666666666e-05,0.00022
Massiliomicrobiota,0.0,0.0006416666666666667,0.0007256666666666667,0.0008053333333333334,0.0008286666666666667,0.00010366666666666666,0.00040366666666666665,0.0005873333333333334,0.00015733333333333333,0.000105,0.000498,9e-05
Megamonas,0.0372321108731334,0.036295666666666664,0.04084533333333333,0.042976,0.06977666666666667,0.06961066666666667,0.06124433333333333,0.05338233333333333,0.090352,0.010278666666666667,0.034675333333333336,0.03787
Megasphaera,0.039119537735854,0.05367,0.055474,0.05704533333333334,0.04372466666666667,0.04532833333333333,0.04289433333333333,0.036930333333333336,0.051748666666666665,0.034215,0.05528266666666667,0.07916000000000001
