# The 1,316 of the catalogue's 1,535 species that are present in the
# Kraken 2 index used for the coverage-matched comparison. The other 219
# are GCF accessions whose FASTAs were not available locally when the
# index was built, so reads from them cannot be classified and are
# excluded from read-accuracy comparisons against Kraken 2.
#
# Keyed by species_name, which is pool-independent: the same list masks
# either 100K pool. species_class here is the catalogue index and is NOT
# the same numbering as a pool's species_class column -- join on the name.
species_name	species_class	genus_name
UMGS1821	838	Desulfovibrio
UMGS1822	839	Eubacterium
UMGS1823	840	Ruminococcus
UMGS1824	841	Fusobacterium
UMGS1825	842	Butyricicoccus
UMGS183	843	Faecalibacterium
UMGS1832	844	Slackia
UMGS1833	845	Robinsoniella
UMGS1834	846	Collinsella
UMGS1835	847	Collinsella
UMGS1836	848	Collinsella
UMGS1837	849	Alistipes
UMGS184	850	Faecalibacterium
UMGS1841	851	Collinsella
UMGS1842	852	Collinsella
UMGS1843	853	Clostridium
UMGS1844	854	Solobacterium
UMGS1845	855	Bacteroides
UMGS1846	856	Ruminococcus
UMGS1847	857	Prevotella
UMGS185	858	Ruminococcus
UMGS1851	859	Clostridium
UMGS1852	860	Clostridium
UMGS1853	861	Collinsella
UMGS1857	862	Garciella
UMGS186	863	Ruminococcus
UMGS1860	864	Eubacterium
UMGS1861	865	Eggerthella
UMGS1862	866	Collinsella
UMGS1864	867	Clostridium
UMGS1869	868	Bacteroides
UMGS1870	869	Ruminococcus
UMGS1871	870	Fusobacterium
UMGS1873	871	Collinsella
UMGS1874	872	Collinsella
UMGS1875	873	Clostridium
UMGS1879	874	Collinsella
UMGS188	875	Clostridium
UMGS1882	876	Ruminococcus
UMGS1884	877	Clostridium
UMGS1886	878	Ruminococcus
UMGS1887	879	Olsenella
UMGS1889	880	Ruminococcus
UMGS1890	881	Desulfovibrio
UMGS1894	882	Gemella
UMGS1895	883	Pantoea
UMGS1896	884	Butyricimonas
UMGS1897	885	Clostridium
UMGS190	886	Eggerthella
UMGS1901	887	Clostridium
UMGS1903	888	Ruminococcus
UMGS1905	889	Collinsella
UMGS1909	890	Bacteroides
UMGS1910	891	Collinsella
UMGS1912	892	Xylanibacter
UMGS1913	893	Collinsella
UMGS1914	894	Clostridium
UMGS1917	895	Clostridium
UMGS1918	896	Prevotella
UMGS1919	897	Collinsella
UMGS192	898	Eubacterium
UMGS1920	899	Collinsella
UMGS1921	900	Collinsella
UMGS1922	901	Granulicatella
UMGS1923	902	Clostridium
UMGS1925	903	Clostridium
UMGS1927	904	Prevotella
UMGS1928	905	Collinsella
UMGS1929	906	Prevotella
UMGS193	907	Solobacterium
UMGS1933	908	Clostridium
UMGS1934	909	Actinomyces
UMGS1935	910	Collinsella
UMGS1936	911	Collinsella
UMGS1937	912	Collinsella
UMGS1938	913	Dysgonomonas
UMGS1939	914	Solobacterium
UMGS194	915	Corynebacterium
UMGS1942	916	Slackia
UMGS1943	917	Collinsella
UMGS1944	918	Blautia
UMGS1946	919	Prevotella
UMGS1948	920	Eggerthella
UMGS1949	921	Collinsella
UMGS1952	922	Enterococcus
UMGS1954	923	Bacteroides
UMGS1959	924	Megamonas
UMGS1963	925	Eggerthella
UMGS1965	926	Anaerococcus
UMGS1966	927	Desulfovibrio
UMGS1967	928	Collinsella
UMGS1968	929	Clostridium
UMGS1969	930	Collinsella
UMGS197	931	Ruminococcus
UMGS1970	932	Collinsella
UMGS1972	933	Prevotella
UMGS1974	934	Anaerotruncus
UMGS1977	935	Prevotella
UMGS1979	936	Veillonella
UMGS1980	937	Bacteroides
UMGS1982	938	Collinsella
UMGS1983	939	Clostridium
UMGS1984	940	Solobacterium
UMGS1985	941	Collinsella
UMGS1987	942	Oscillibacter
UMGS1988	943	Clostridium
UMGS199	944	Ruminococcus
UMGS1991	945	Eggerthella
UMGS1992	946	Clostridium
UMGS1994	947	Clostridium
UMGS1995	948	Clostridium
UMGS1996	949	Prevotella
UMGS2	950	Dysgonomonas
UMGS20	951	Megasphaera
UMGS200	952	Ruminococcus
UMGS2001	953	Phascolarctobacterium
UMGS2002	954	Collinsella
UMGS2004	955	Odoribacter
UMGS2005	956	Ruminococcus
UMGS2006	957	Collinsella
UMGS2007	958	Bacteroides
UMGS2009	959	Actinomyces
UMGS201	960	Enterobacter
UMGS2010	961	Lachnobacterium
UMGS2011	962	Clostridium
UMGS2014	963	Clostridium
UMGS2019	964	Clostridium
UMGS2020	965	Porphyromonas
