level	model	genus	n_reads	read_acc	n_training_species_in_genus	mean_max_ani
L1_strain	nb_13mer	Ralstonia	249	0.12449799196787148	1	95.71000000000001
L1_strain	nb_13mer	Roseburia	540	0.524074074074074	15	98.69399999999999
L1_strain	nb_13mer	Ruminococcus	279	0.7096774193548387	64	97.88
L1_strain	nb_13mer	Sneathia	257	0.08949416342412451	1	98.63000000000001
L1_strain	nb_13mer	Sutterella	266	0.6466165413533834	28	98.14000000000001
L1_strain	nb_13mer	Veillonella	580	0.7448275862068966	22	95.8905
L1_strain	nb_13mer	Weissella	300	0.43333333333333335	1	97.49
L1_strain	nb_6mer	Achromobacter	264	0.5909090909090909	1	98.47000000000001
L1_strain	nb_6mer	Acidaminococcus	302	0.347682119205298	7	97.40999999999997
L1_strain	nb_6mer	Adlercreutzia	288	0.19444444444444445	1	96.07
L1_strain	nb_6mer	Alistipes	543	0.24125230202578268	38	98.39906077348067
L1_strain	nb_6mer	Anaeromassilibacillus	523	0.05927342256214149	3	98.79523900573612
L1_strain	nb_6mer	Anaerosporobacter	290	0.22413793103448276	1	95.15999999999998
L1_strain	nb_6mer	Bacillus	261	0.03065134099616858	11	97.4
L1_strain	nb_6mer	Bacteroides	570	0.17192982456140352	79	97.15482456140352
L1_strain	nb_6mer	Barnesiella	556	0.18705035971223022	3	98.75143884892087
L1_strain	nb_6mer	Bifidobacterium	272	0.27205882352941174	14	95.04999999999998
L1_strain	nb_6mer	Blautia	535	0.21869158878504674	46	98.33145794392523
L1_strain	nb_6mer	Butyricicoccus	261	0.23371647509578544	7	97.99
L1_strain	nb_6mer	Butyricimonas	297	0.30303030303030304	6	98.73
L1_strain	nb_6mer	Catenibacterium	276	0.4673913043478261	3	96.84000000000002
L1_strain	nb_6mer	Citrobacter	270	0.15925925925925927	3	97.15
L1_strain	nb_6mer	Collinsella	291	0.36082474226804123	349	95.02
L1_strain	nb_6mer	Desulfovibrio	541	0.26062846580406657	18	96.39465804066545
L1_strain	nb_6mer	Dialister	299	0.2140468227424749	17	96.91999999999999
L1_strain	nb_6mer	Dorea	548	0.16970802919708028	7	98.29160583941606
L1_strain	nb_6mer	Eggerthella	264	0.022727272727272728	20	98.85999999999997
L1_strain	nb_6mer	Enterobacter	532	0.16165413533834586	6	98.86830827067669
L1_strain	nb_6mer	Enterococcus	570	0.21228070175438596	9	97.51622807017544
L1_strain	nb_6mer	Eubacterium	282	0.05673758865248227	29	98.93
L1_strain	nb_6mer	Faecalibacterium	557	0.31597845601436264	13	97.18475763016157
L1_strain	nb_6mer	Finegoldia	263	0.1444866920152091	3	97.60000000000001
L1_strain	nb_6mer	Franconibacter	267	0.2696629213483146	1	98.98
L1_strain	nb_6mer	Fusobacterium	572	0.49125874125874125	26	97.48510489510488
L1_strain	nb_6mer	Klebsiella	557	0.14183123877917414	6	97.2871813285458
L1_strain	nb_6mer	Lachnospira	286	0.4090909090909091	6	95.58000000000001
L1_strain	nb_6mer	Lactobacillus	259	0.11196911196911197	25	98.44000000000001
L1_strain	nb_6mer	Leuconostoc	541	0.22735674676524953	3	97.69268022181144
L1_strain	nb_6mer	Listeria	277	0.18050541516245489	1	98.75
